date,state,positive,hospitalizedCumulative,death
20201123,NE,114061,3963,909
,,,,
20201122,NE,113029,3944,905
,,,,
20201121,NE,111661,3915,897
,,,,
20201120,NE,109280,3859,854
,,,,
20201119,NE,106617,3726,826
,,,,
20201118,NE,103805,3726,816
,,,,
20201117,NE,101601,3651,797
,,,,
20201116,NE,98161,3575,779
,,,,
20201115,NE,96834,3551,779
,,,,
20201114,NE,94922,3522,775
,,,,
20201113,NE,92553,3460,756
,,,,
20201112,NE,89942,3481,731
,,,,
20201111,NE,87733,3366,730
,,,,
20201110,NE,85551,3321,710
,,,,
20201109,NE,83969,3289,703
,,,,
20201108,NE,82395,3280,703
,,,,
20201107,NE,80693,3246,701
,,,,
20201106,NE,78012,3201,674
,,,,
20201105,NE,75888,3148,669
,,,,
20201104,NE,74060,3122,660
,,,,
20201103,NE,72620,3076,656
,,,,
20201102,NE,71666,3050,654
,,,,
20201101,NE,70732,3042,652
,,,,
20201031,NE,69645,3033,646
,,,,
20201030,NE,68150,2977,637
,,,,
20201029,NE,66545,2950,628
,,,,
20201028,NE,65376,2905,620
,,,,
20201027,NE,64499,2875,603
,,,,
20201026,NE,63797,2846,596
,,,,
20201025,NE,63215,2833,595
,,,,
20201024,NE,62510,2817,591
,,,,
20201023,NE,61285,2783,587
,,,,
20201022,NE,60308,2741,576
,,,,
20201021,NE,59409,2706,565
,,,,
20201020,NE,58817,2680,554
,,,,
20201019,NE,58068,2658,548
,,,,
20201018,NE,57334,2650,548
,,,,
20201017,NE,56714,2647,547
,,,,
20201016,NE,55428,2631,535
,,,,
20201015,NE,54467,2593,530
,,,,
20201014,NE,53543,2555,527
,,,,
20201013,NE,52839,2543,522
,,,,
20201012,NE,52382,2526,519
,,,,
20201011,NE,51887,2526,519
,,,,
20201010,NE,51144,2499,519
,,,,
20201009,NE,50059,2481,514
,,,,
20201008,NE,49396,2468,507
,,,,
20201007,NE,48757,2436,507
,,,,
20201006,NE,48259,2407,503
,,,,
20201005,NE,47807,2397,501
,,,,
20201004,NE,47403,2388,497
,,,,
20201003,NE,46977,2379,493
,,,,
20201002,NE,46185,2356,493
,,,,
20201001,NE,45564,2349,478
,,,,
20200930,NE,45044,2315,478
,,,,
20200929,NE,44578,2301,472
,,,,
20200928,NE,44063,2280,470
,,,,
20200927,NE,43596,2279,469
,,,,
20200926,NE,43162,2276,468
,,,,
20200925,NE,42731,2259,462
,,,,
20200924,NE,42278,2247,462
,,,,
20200923,NE,41785,2214,461
,,,,
20200922,NE,41388,2208,452
,,,,
20200921,NE,41083,2194,442
,,,,
20200920,NE,40797,2194,442
,,,,
20200919,NE,40387,2194,442
,,,,
20200918,NE,39921,2181,442
,,,,
20200917,NE,39419,2172,439
,,,,
20200916,NE,38970,2167,436
,,,,
20200915,NE,38642,2154,435
,,,,
20200914,NE,38335,2139,434
,,,,
20200913,NE,38108,2137,434
,,,,
20200912,NE,37841,2131,434
,,,,
20200911,NE,37373,2119,430
,,,,
20200910,NE,36917,2108,421
,,,,
20200909,NE,36477,2089,406
,,,,
20200908,NE,35975,2079,404
,,,,
20200907,NE,35886,2068,404
,,,,
20200906,NE,35805,2065,404
,,,,
20200905,NE,35661,2060,404
,,,,
20200904,NE,35469,2033,404
,,,,
20200903,NE,34995,2027,399
,,,,
20200902,NE,34574,2014,399
,,,,
20200901,NE,34287,2006,397
,,,,
20200831,NE,34046,1994,392
,,,,
20200830,NE,33753,1992,392
,,,,
20200829,NE,33436,1982,392
,,,,
20200828,NE,33101,1968,391
,,,,
20200827,NE,32727,1954,386
,,,,
20200826,NE,32348,1946,383
,,,,
20200825,NE,32047,1930,383
,,,,
20200824,NE,31889,1910,378
,,,,
20200823,NE,31780,1907,376
,,,,
20200822,NE,31626,1891,376
,,,,
20200821,NE,31348,1877,373
,,,,
20200820,NE,31040,1851,371
,,,,
20200819,NE,30825,1835,368
,,,,
20200818,NE,30563,1883,362
,,,,
20200817,NE,30372,1883,361
,,,,
20200816,NE,30241,1883,361
,,,,
20200815,NE,29988,1880,361
,,,,
20200814,NE,29660,1880,360
,,,,
20200813,NE,29244,1880,356
,,,,
20200812,NE,29030,1880,351
,,,,
20200811,NE,28696,1741,348
,,,,
20200810,NE,28432,1722,345
,,,,
20200809,NE,28245,1715,345
,,,,
20200808,NE,28104,1704,345
,,,,
20200807,NE,27821,1688,340
,,,,
20200806,NE,27489,1681,335
,,,,
20200805,NE,27178,1644,332
,,,,
20200804,NE,26956,1644,332
,,,,
20200803,NE,26702,1630,332
,,,,
20200802,NE,26391,1629,332
,,,,
20200801,NE,26211,1622,332
,,,,
20200731,NE,25766,1610,328
,,,,
20200730,NE,25422,1610,324
,,,,
20200729,NE,25157,1606,321
,,,,
20200728,NE,24899,1587,317
,,,,
20200727,NE,24618,1570,316
,,,,
20200726,NE,24395,1567,316
,,,,
20200725,NE,24174,1548,316
,,,,
20200724,NE,23818,1548,316
,,,,
20200723,NE,23486,1522,311
,,,,
20200722,NE,23190,1508,310
,,,,
20200721,NE,22847,1502,306
,,,,
20200720,NE,22583,1482,301
,,,,
20200719,NE,22481,1481,301
,,,,
20200718,NE,22361,1480,301
,,,,
20200717,NE,22134,1453,299
,,,,
20200716,NE,21979,1453,291
,,,,
20200715,NE,21717,1442,286
,,,,
20200714,NE,21399,1431,288
,,,,
